Grouping,Key_Tests,File_Name,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,Post_Init_Duration,DIR,Vslack_pu,Commands>,Table_Data,Grid_MVA_v,Grid_X2R_v,Vref_pu_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Infinite_Grid_v,Post_Init_Duration_s
,,s5251_FlatRun_032,FlatRun,Droop,,-1.0,-1.0,1.035304868596648,1.05,-1.0,1100.0,0.0,10,CSR_S5251,1127.3487500064773,,"[[""Filename/Int. Ref."",""s5251_FlatRun_032""],[""Fault Level [MVA]"",""-1.0""],[""X2R"",""-1.0""],[""Vpoc [.pu]"",""1.0500""],[""Qpoc [.pu]"",""-1.0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""]]",-1.0,-1.0,1.035304868596648,1127.3487500064773,1100.0,0.0,1,10
,,s5251_FlatRun_033,FlatRun,Droop,,-1.0,-1.0,1.035304868596648,1.05,-1.0,750.0,350.0,10,CSR_S5251,1127.3487500064773,,"[[""Filename/Int. Ref."",""s5251_FlatRun_033""],[""Fault Level [MVA]"",""-1.0""],[""X2R"",""-1.0""],[""Vpoc [.pu]"",""1.0500""],[""Qpoc [.pu]"",""-1.0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""]]",-1.0,-1.0,1.035304868596648,1127.3487500064773,750.0,350.0,1,10
,,s5251_FlatRun_034,FlatRun,Droop,,-1.0,-1.0,1.035304868596648,1.05,-1.0,0.0,-350.0,10,CSR_S5251,531.479102743087,,"[[""Filename/Int. Ref."",""s5251_FlatRun_034""],[""Fault Level [MVA]"",""-1.0""],[""X2R"",""-1.0""],[""Vpoc [.pu]"",""1.0500""],[""Qpoc [.pu]"",""-1.0""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""]]",-1.0,-1.0,1.035304868596648,531.479102743087,0.0,-350.0,1,10
,,s5251_FlatRun_035,FlatRun,Droop,,-1.0,-1.0,1.0368414605789944,1.04125,-0.3,1100.0,0.0,10,CSR_S5251,1064.6319831002932,,"[[""Filename/Int. Ref."",""s5251_FlatRun_035""],[""Fault Level [MVA]"",""-1.0""],[""X2R"",""-1.0""],[""Vpoc [.pu]"",""1.0413""],[""Qpoc [.pu]"",""-0.3""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""]]",-1.0,-1.0,1.0368414605789944,1064.6319831002932,1100.0,0.0,1,10
,,s5251_FlatRun_036,FlatRun,Droop,,-1.0,-1.0,1.0368414605789944,1.04125,-0.3,750.0,350.0,10,CSR_S5251,1064.6319831002932,,"[[""Filename/Int. Ref."",""s5251_FlatRun_036""],[""Fault Level [MVA]"",""-1.0""],[""X2R"",""-1.0""],[""Vpoc [.pu]"",""1.0413""],[""Qpoc [.pu]"",""-0.3""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""]]",-1.0,-1.0,1.0368414605789944,1064.6319831002932,750.0,350.0,1,10
,,s5251_FlatRun_037,FlatRun,Droop,,-1.0,-1.0,1.0368414605789944,1.04125,-0.3,0.0,-350.0,10,CSR_S5251,358.25741645180136,,"[[""Filename/Int. Ref."",""s5251_FlatRun_037""],[""Fault Level [MVA]"",""-1.0""],[""X2R"",""-1.0""],[""Vpoc [.pu]"",""1.0413""],[""Qpoc [.pu]"",""-0.3""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""]]",-1.0,-1.0,1.0368414605789944,358.25741645180136,0.0,-350.0,1,10
,,s5251_FlatRun_038,FlatRun,Droop,,-1.0,-1.0,1.0375,1.0375,0.0,1100.0,0.0,10,CSR_S5251,1060.9748407770726,,"[[""Filename/Int. Ref."",""s5251_FlatRun_038""],[""Fault Level [MVA]"",""-1.0""],[""X2R"",""-1.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""]]",-1.0,-1.0,1.0375,1060.9748407770726,1100.0,0.0,1,10
,,s5251_FlatRun_039,FlatRun,Droop,,-1.0,-1.0,1.0375,1.0375,0.0,750.0,350.0,10,CSR_S5251,1060.9748407770726,,"[[""Filename/Int. Ref."",""s5251_FlatRun_039""],[""Fault Level [MVA]"",""-1.0""],[""X2R"",""-1.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""]]",-1.0,-1.0,1.0375,1060.9748407770726,750.0,350.0,1,10
,,s5251_FlatRun_040,FlatRun,Droop,,-1.0,-1.0,1.0375,1.0375,0.0,0.0,-350.0,10,CSR_S5251,336.6165737363494,,"[[""Filename/Int. Ref."",""s5251_FlatRun_040""],[""Fault Level [MVA]"",""-1.0""],[""X2R"",""-1.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""]]",-1.0,-1.0,1.0375,336.6165737363494,0.0,-350.0,1,10
,,s5251_FlatRun_041,FlatRun,Droop,,-1.0,-1.0,1.0381585394210056,1.03375,0.3,1100.0,0.0,10,CSR_S5251,1072.1722866973003,,"[[""Filename/Int. Ref."",""s5251_FlatRun_041""],[""Fault Level [MVA]"",""-1.0""],[""X2R"",""-1.0""],[""Vpoc [.pu]"",""1.0337""],[""Qpoc [.pu]"",""0.3""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""]]",-1.0,-1.0,1.0381585394210056,1072.1722866973003,1100.0,0.0,1,10
,,s5251_FlatRun_042,FlatRun,Droop,,-1.0,-1.0,1.0381585394210056,1.03375,0.3,750.0,350.0,10,CSR_S5251,1072.1722866973003,,"[[""Filename/Int. Ref."",""s5251_FlatRun_042""],[""Fault Level [MVA]"",""-1.0""],[""X2R"",""-1.0""],[""Vpoc [.pu]"",""1.0337""],[""Qpoc [.pu]"",""0.3""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""]]",-1.0,-1.0,1.0381585394210056,1072.1722866973003,750.0,350.0,1,10
,,s5251_FlatRun_043,FlatRun,Droop,,-1.0,-1.0,1.0381585394210056,1.03375,0.3,0.0,-350.0,10,CSR_S5251,360.35164747724093,,"[[""Filename/Int. Ref."",""s5251_FlatRun_043""],[""Fault Level [MVA]"",""-1.0""],[""X2R"",""-1.0""],[""Vpoc [.pu]"",""1.0337""],[""Qpoc [.pu]"",""0.3""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""]]",-1.0,-1.0,1.0381585394210056,360.35164747724093,0.0,-350.0,1,10
,,s5251_FlatRun_044,FlatRun,Droop,,-1.0,-1.0,1.039695131403352,1.025,1.0,1100.0,0.0,10,CSR_S5251,1154.2663934095995,,"[[""Filename/Int. Ref."",""s5251_FlatRun_044""],[""Fault Level [MVA]"",""-1.0""],[""X2R"",""-1.0""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""1.0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""]]",-1.0,-1.0,1.039695131403352,1154.2663934095995,1100.0,0.0,1,10
,,s5251_FlatRun_045,FlatRun,Droop,,-1.0,-1.0,1.039695131403352,1.025,1.0,750.0,350.0,10,CSR_S5251,1154.2663934095995,,"[[""Filename/Int. Ref."",""s5251_FlatRun_045""],[""Fault Level [MVA]"",""-1.0""],[""X2R"",""-1.0""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""1.0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""]]",-1.0,-1.0,1.039695131403352,1154.2663934095995,750.0,350.0,1,10
,,s5251_FlatRun_046,FlatRun,Droop,,-1.0,-1.0,1.039695131403352,1.025,1.0,0.0,-350.0,10,CSR_S5251,543.3066734632994,,"[[""Filename/Int. Ref."",""s5251_FlatRun_046""],[""Fault Level [MVA]"",""-1.0""],[""X2R"",""-1.0""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""1.0""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""]]",-1.0,-1.0,1.039695131403352,543.3066734632994,0.0,-350.0,1,10
