Grouping,Key_Tests,File_Name,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,Time_Steps,Vref_Deltas,DIR,Vslack_pu,Commands>,Grid_MVA_v,Grid_X2R_v,Init_Vpoc_pu_v,Init_Qpoc_pu_v,En_SMIB_init_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Infinite_Grid_v,Post_Init_Duration_s,Vref_pu_t,Vref_pu_v
,,s52513_VrefSteps_047,Cont.Ctrl,Droop,PPOC_VPOC_VREF,1500,10,1.0375,1.0375,0.0,1226,0,"[0.5, 10.5]","[-0.05, 0]",CSR_S52513,1.2386951830136483,,1500,10,1.0375,0.0,1,1.2386951830136483,1226,0,0,10.5,"[0, 0.5, 10.5]","[1.0375, 0.9875, 0.9875]"
,,s52513_VrefSteps_048,Cont.Ctrl,Droop,PPOC_VPOC_VREF,1500,10,1.0375,1.0375,0.0,876,350,"[0.5, 10.5]","[0.05, 0]",CSR_S52513,1.2386951830136483,,1500,10,1.0375,0.0,1,1.2386951830136483,876,350,0,10.5,"[0, 0.5, 10.5]","[1.0375, 1.0875000000000001, 1.0875000000000001]"
,,s52513_VrefSteps_049,Cont.Ctrl,Droop,PPOC_VPOC_VREF,1500,10,1.0375,1.0375,0.0,876,350,"[0.5, 10.5]","[-0.05, 0]",CSR_S52513,1.2386951830136483,,1500,10,1.0375,0.0,1,1.2386951830136483,876,350,0,10.5,"[0, 0.5, 10.5]","[1.0375, 0.9875, 0.9875]"
,,s52513_VrefSteps_050,Cont.Ctrl,Droop,PPOC_VPOC_VREF,1500,10,1.0375,1.0375,0.0,0,-350,"[0.5, 10.5]","[0.05, 0]",CSR_S52513,1.0832456546112046,,1500,10,1.0375,0.0,1,1.0832456546112046,0,-350,0,10.5,"[0, 0.5, 10.5]","[1.0375, 1.0875000000000001, 1.0875000000000001]"
,,s52513_VrefSteps_051,Cont.Ctrl,Droop,PPOC_VPOC_VREF,1500,10,1.0375,1.0375,0.0,0,-350,"[0.5, 10.5]","[-0.05, 0]",CSR_S52513,1.0832456546112046,,1500,10,1.0375,0.0,1,1.0832456546112046,0,-350,0,10.5,"[0, 0.5, 10.5]","[1.0375, 0.9875, 0.9875]"
,,s52513_VrefSteps_052,Sat(d5%),Droop,PPOC_VPOC_VREF,2528,10,1.0603,1.069140171,-0.60171495,1226,0,"[0.5, 10.5]","[-0.05, 0]",CSR_S52513,1.218968340734633,,2528,10,1.069140171,-0.60171495,1,1.218968340734633,1226,0,0,10.5,"[0, 0.5, 10.5]","[1.0603, 1.0103, 1.0103]"
,,s52513_VrefSteps_053,Sat(d5%),Droop,PPOC_VPOC_VREF,2528,10,1.0603,1.069140171,-0.60171495,876,350,"[0.5, 10.5]","[-0.05, 0]",CSR_S52513,1.218968340734633,,2528,10,1.069140171,-0.60171495,1,1.218968340734633,876,350,0,10.5,"[0, 0.5, 10.5]","[1.0603, 1.0103, 1.0103]"
,,s52513_VrefSteps_054,Sat(d5%),Droop,PPOC_VPOC_VREF,2528,10,1.0603,1.069026047,-0.594026207,0,-350,"[0.5, 10.5]","[-0.05, 0]",CSR_S52513,1.1906294532602966,,2528,10,1.069026047,-0.594026207,1,1.1906294532602966,0,-350,0,10.5,"[0, 0.5, 10.5]","[1.0603, 1.0103, 1.0103]"
,,s52513_VrefSteps_055,Sat(d5%),Droop,PPOC_VPOC_VREF,1500,10,1.0603,1.074498531,-0.966361655,1226,0,"[0.5, 10.5]","[-0.05, 0]",CSR_S52513,1.5008314581740463,,1500,10,1.074498531,-0.966361655,1,1.5008314581740463,1226,0,0,10.5,"[0, 0.5, 10.5]","[1.0603, 1.0103, 1.0103]"
,,s52513_VrefSteps_056,Sat(d5%),Droop,PPOC_VPOC_VREF,1500,10,1.0603,1.074498531,-0.966361655,876,350,"[0.5, 10.5]","[-0.05, 0]",CSR_S52513,1.5008314581740463,,1500,10,1.074498531,-0.966361655,1,1.5008314581740463,876,350,0,10.5,"[0, 0.5, 10.5]","[1.0603, 1.0103, 1.0103]"
,,s52513_VrefSteps_057,Sat(d5%),Droop,PPOC_VPOC_VREF,1500,10,1.0603,1.07399782,-0.93272826,0,-350,"[0.5, 10.5]","[-0.05, 0]",CSR_S52513,1.3794072541329674,,1500,10,1.07399782,-0.93272826,1,1.3794072541329674,0,-350,0,10.5,"[0, 0.5, 10.5]","[1.0603, 1.0103, 1.0103]"
,,s52513_VrefSteps_058,Sat(u5%),Droop,PPOC_VPOC_VREF,2528,10,1.0147,1.006072713,0.587437583,1226,0,"[0.5, 10.5]","[0.05, 0]",CSR_S52513,0.9708098970665634,,2528,10,1.006072713,0.587437583,1,0.9708098970665634,1226,0,0,10.5,"[0, 0.5, 10.5]","[1.0147, 1.0647, 1.0647]"
,,s52513_VrefSteps_059,Sat(u5%),Droop,PPOC_VPOC_VREF,2528,10,1.0147,1.006072713,0.587437583,876,350,"[0.5, 10.5]","[0.05, 0]",CSR_S52513,0.9708098970665634,,2528,10,1.006072713,0.587437583,1,0.9708098970665634,876,350,0,10.5,"[0, 0.5, 10.5]","[1.0147, 1.0647, 1.0647]"
,,s52513_VrefSteps_060,Sat(u5%),Droop,PPOC_VPOC_VREF,2528,10,1.0147,1.006097013,0.585832453,0,-350,"[0.5, 10.5]","[0.05, 0]",CSR_S52513,0.9239521353987982,,2528,10,1.006097013,0.585832453,1,0.9239521353987982,0,-350,0,10.5,"[0, 0.5, 10.5]","[1.0147, 1.0647, 1.0647]"
,,s52513_VrefSteps_061,Sat(u5%),Droop,PPOC_VPOC_VREF,1500,10,1.0147,1.000748815,0.949638403,1226,0,"[0.5, 10.5]","[0.05, 0]",CSR_S52513,1.001064152477231,,1500,10,1.000748815,0.949638403,1,1.001064152477231,1226,0,0,10.5,"[0, 0.5, 10.5]","[1.0147, 1.0647, 1.0647]"
,,s52513_VrefSteps_062,Sat(u5%),Droop,PPOC_VPOC_VREF,1500,10,1.0147,1.000748815,0.949638403,876,350,"[0.5, 10.5]","[0.05, 0]",CSR_S52513,1.001064152477231,,1500,10,1.000748815,0.949638403,1,1.001064152477231,876,350,0,10.5,"[0, 0.5, 10.5]","[1.0147, 1.0647, 1.0647]"
,,s52513_VrefSteps_063,Sat(u5%),Droop,PPOC_VPOC_VREF,1500,10,1.0147,1.001483987,0.899641631,0,-350,"[0.5, 10.5]","[0.05, 0]",CSR_S52513,0.7886293903050877,,1500,10,1.001483987,0.899641631,1,0.7886293903050877,0,-350,0,10.5,"[0, 0.5, 10.5]","[1.0147, 1.0647, 1.0647]"
